"country","lat","lon","aqi_category"
"Egypt","30.178875","31.206436","Unhealthy for Sensitive Groups"
"India","30.0309855","77.1518216","Unhealthy"
"Pakistan","27.1775378","67.9512147","Unhealthy"
"India","25.0299973","85.4207368","Unhealthy"
"India","20.50756595","84.22731067744127","Unhealthy"
"India","19.4606998","77.1457815","Unhealthy for Sensitive Groups"
"China","36.2894384","116.4503206","Unhealthy"
"Brazil","-22.5129436","-44.001435","Unhealthy"
"Haiti","18.5518464","-72.2920071","Unhealthy for Sensitive Groups"
"Pakistan","29.4880699","67.6422752","Unhealthy"
"Pakistan","25.1570717","69.1107851","Unhealthy"
"India","28.8706551","78.6781061","Unhealthy"
"Iran (Islamic Republic of)","34.74","60.7756","Unhealthy"
"India","18.2025413","83.3939479","Unhealthy"
"Mexico","19.3580191","-99.2376541","Unhealthy"
"Viet Nam","21.592477","105.8435398","Unhealthy"
"China","39.1175488","117.1913008","Unhealthy for Sensitive Groups"
"Mexico","19.292545","-99.6569007","Unhealthy"
"India","23.1608938","79.9497702","Unhealthy"
"India","26.7212912","76.9812226","Unhealthy"
"Nigeria","7.8408473","4.4853735","Unhealthy for Sensitive Groups"
"Viet Nam","21.7879695","105.217387","Unhealthy"
"India","23.5246558","80.8361408","Unhealthy"
"United States of America","41.4527885","-87.54108937044109","Unhealthy for Sensitive Groups"
"China","31.6119157","115.0948036","Unhealthy for Sensitive Groups"
"China","29.6562752","104.0641012","Unhealthy"
"Democratic Republic of the Congo","0.7658281","24.4733629","Unhealthy for Sensitive Groups"
"China","34.7052","114.803","Unhealthy"
"China","39.1414621","116.9960349","Unhealthy for Sensitive Groups"
"China","27.9511188","116.3530413","Unhealthy"
"Colombia","4.306643","-74.8015665","Unhealthy for Sensitive Groups"
"China","33.5380122","119.1324859","Unhealthy"
"Ethiopia","8.148683","39.3534724","Unhealthy for Sensitive Groups"
"Nigeria","7.109769","5.1164416","Unhealthy for Sensitive Groups"
"India","16.8165294","81.5296984","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","34.69307","50.01601","Unhealthy for Sensitive Groups"
"India","24.9187834","75.2316928","Unhealthy"
"India","21.16753","75.69761","Unhealthy for Sensitive Groups"
"China","31.440451","106.8919763","Unhealthy for Sensitive Groups"
"China","35.027637","111.002141","Unhealthy"
"China","32.0071389","107.4708366","Unhealthy"
"China","25.1962426","114.3579048","Unhealthy"
"Mexico","19.2844909","-99.7350408","Unhealthy"
"C̫te d'Ivoire","5.30966","-4.01266","Unhealthy for Sensitive Groups"
"Mexico","20.490278","-98.033611","Unhealthy"
"India","29.3930355","78.674504","Unhealthy"
"Nigeria","6.2578135","6.182193","Unhealthy for Sensitive Groups"
"Myanmar","20.13271","92.87263","Unhealthy for Sensitive Groups"
"China","36.4794705","119.2129818","Unhealthy for Sensitive Groups"
"Ghana","5.283297","-0.737975","Unhealthy for Sensitive Groups"
"India","24.9585241","79.8971311","Unhealthy"
"Guatemala","14.1762807","-89.7408637","Unhealthy for Sensitive Groups"
"Gambia","13.40499765","-14.149557588647587","Unhealthy for Sensitive Groups"
"Pakistan","34.61851","71.972602","Unhealthy for Sensitive Groups"
"India","29.1612823","79.1538634","Unhealthy"
"Italy","45.2952784","10.4729815","Unhealthy for Sensitive Groups"
"Italy","45.5245578","9.330925","Unhealthy for Sensitive Groups"
"China","41.4947399","120.3847618","Unhealthy"
"India","24.6685519","76.8478646","Unhealthy"
"India","18.3120723","83.5686458","Unhealthy"
"India","25.8719283","73.1822061","Unhealthy"
"Italy","45.8115623","9.0830353","Unhealthy for Sensitive Groups"
"United States of America","26.057783","-80.2695109","Unhealthy"
"Italy","44.72057","11.149804","Unhealthy for Sensitive Groups"
"Pakistan","28.8963483","64.4097124","Unhealthy"
"Ghana","6.38479","-0.376333","Unhealthy for Sensitive Groups"
"India","22.6875139","75.6116714","Unhealthy"
"Bangladesh","24.0524","90.9764","Unhealthy for Sensitive Groups"
"Pakistan","32.2710743","72.896564","Unhealthy"
"India","16.5427689","81.527344","Unhealthy for Sensitive Groups"
"India","19.3025562","73.0588072","Unhealthy"
"Colombia","10.7935815","-74.9152164","Unhealthy for Sensitive Groups"
"India","24.4155188","74.4751013","Unhealthy"
"Kyrgyzstan","40.76994","73.30068","Unhealthy for Sensitive Groups"
"India","25.1038069","78.260808","Unhealthy"
"Saudi Arabia","29.96974","40.20641","Unhealthy for Sensitive Groups"
"India","26.9110014","75.1848367","Unhealthy"
"Chile","-32.879997","-71.2473555","Unhealthy"
"Bangladesh","24.3715513","88.5921038","Unhealthy"
"India","20.6033824","76.1759591","Unhealthy"
"Haiti","19.9389855","-72.8308129","Unhealthy for Sensitive Groups"
"India","26.0757662","81.051715","Unhealthy"
"India","21.6950878","71.5160345","Unhealthy"
"China","33.6406649","115.1943501","Unhealthy for Sensitive Groups"
"India","20.3938103","78.3170271","Unhealthy"
"India","24.0053207","72.9782242","Unhealthy"
"India","27.180885","70.9961269","Unhealthy"
"Benin","6.801846","1.7815205","Unhealthy for Sensitive Groups"
"Pakistan","32.0419786","74.2601469","Unhealthy"
"India","22.505339","88.359533","Unhealthy"
"India","23.8338345","86.5217542","Unhealthy"
"India","26.422782","78.4394152","Unhealthy"
"Brazil","-23.2817308","-46.7448996","Unhealthy"
"India","19.6281577","76.3786697","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","0.3397018","32.5925304","Unhealthy for Sensitive Groups"
"India","20.1426837","74.2377507","Unhealthy for Sensitive Groups"
"China","31.8570167","113.294539","Unhealthy"
"Congo","-4.0969028","12.4915233","Unhealthy for Sensitive Groups"
"Senegal","15.6118551","-16.2233275","Unhealthy"
"India","23.1290668","73.611114","Unhealthy"
"Pakistan","27.7545417","68.4521571","Unhealthy"
"Lesotho","-29.8224468","27.2388281","Unhealthy for Sensitive Groups"
"India","17.595749","79.9999224","Unhealthy for Sensitive Groups"
"India","25.2886851","79.8792071","Unhealthy"
"India","24.260444","80.7592749","Unhealthy"
"Iran (Islamic Republic of)","51.532631550000005","-0.19626866421186873","Unhealthy"
"India","23.956962","79.9501652","Unhealthy"
"Venezuela (Bolivarian Republic of)","10.6498095","-71.6443596","Unhealthy for Sensitive Groups"
"China","26.8971898","112.5665703","Unhealthy"
"China","34.38488","109.05543","Unhealthy for Sensitive Groups"
"Nigeria","5.966123","8.72252","Unhealthy for Sensitive Groups"
"India","18.787747","73.3438185","Unhealthy for Sensitive Groups"
